,date,gender,age,medical_worker,status,count
48,2021-04-12,U,UNK,False,1,1
175,2021-04-13,F,-64,False,1,1
293,2021-04-14,F,-64,False,1,2
294,2021-04-14,F,65-,False,1,102
295,2021-04-14,M,65-,False,1,94
432,2021-04-15,F,-64,False,1,2
433,2021-04-15,F,65-,False,1,3
434,2021-04-15,M,-64,False,1,1
582,2021-04-16,F,-64,False,1,11
583,2021-04-16,F,65-,False,1,1
584,2021-04-16,M,-64,False,1,1
585,2021-04-16,M,65-,False,1,1
711,2021-04-17,F,-64,False,1,2
712,2021-04-17,F,65-,False,1,87
713,2021-04-17,M,65-,False,1,140
714,2021-04-17,U,UNK,False,1,3
814,2021-04-18,F,65-,False,1,460
815,2021-04-18,M,65-,False,1,309
947,2021-04-19,F,-64,False,1,24
948,2021-04-19,F,65-,False,1,153
949,2021-04-19,M,-64,False,1,4
950,2021-04-19,M,65-,False,1,36
951,2021-04-19,U,UNK,False,1,18
1157,2021-04-20,F,-64,False,1,26
1158,2021-04-20,F,65-,False,1,110
1159,2021-04-20,M,-64,False,1,12
1160,2021-04-20,M,65-,False,1,32
1161,2021-04-20,U,UNK,False,1,16
1374,2021-04-21,F,-64,False,1,43
1375,2021-04-21,F,65-,False,1,225
1376,2021-04-21,M,-64,False,1,11
1377,2021-04-21,M,65-,False,1,115
1378,2021-04-21,U,UNK,False,1,19
1593,2021-04-22,F,-64,False,1,54
1594,2021-04-22,F,65-,False,1,190
1595,2021-04-22,M,-64,False,1,14
1596,2021-04-22,M,65-,False,1,56
1597,2021-04-22,U,UNK,False,1,19
1810,2021-04-23,F,-64,False,1,48
1811,2021-04-23,F,65-,False,1,113
1812,2021-04-23,M,-64,False,1,6
1813,2021-04-23,M,65-,False,1,34
1814,2021-04-23,U,UNK,False,1,22
2014,2021-04-24,F,-64,False,1,26
2015,2021-04-24,F,65-,False,1,209
2016,2021-04-24,M,-64,False,1,4
2017,2021-04-24,M,65-,False,1,132
2018,2021-04-24,U,UNK,False,1,27
2191,2021-04-25,F,-64,False,1,1
2192,2021-04-25,F,65-,False,1,368
2193,2021-04-25,M,-64,False,1,5
2194,2021-04-25,M,65-,False,1,241
2195,2021-04-25,U,UNK,False,1,1
2358,2021-04-26,F,-64,False,1,58
2359,2021-04-26,F,65-,False,1,268
2360,2021-04-26,M,-64,False,1,19
2361,2021-04-26,M,65-,False,1,189
2362,2021-04-26,U,UNK,False,1,13
2577,2021-04-27,F,-64,False,1,101
2578,2021-04-27,F,65-,False,1,273
2579,2021-04-27,M,-64,False,1,21
2580,2021-04-27,M,65-,False,1,211
2581,2021-04-27,U,UNK,False,1,35
2801,2021-04-28,F,-64,False,1,171
2802,2021-04-28,F,65-,False,1,446
2803,2021-04-28,M,-64,False,1,15
2804,2021-04-28,M,65-,False,1,266
2805,2021-04-28,U,UNK,False,1,40
3004,2021-04-29,F,-64,False,1,1
3005,2021-04-29,F,65-,False,1,209
3006,2021-04-29,M,-64,False,1,3
3007,2021-04-29,M,65-,False,1,134
3008,2021-04-29,U,UNK,False,1,2
3197,2021-04-30,F,-64,False,1,99
3198,2021-04-30,F,65-,False,1,330
3199,2021-04-30,M,-64,False,1,17
3200,2021-04-30,M,65-,False,1,270
3201,2021-04-30,U,UNK,False,1,16
3402,2021-05-01,F,65-,False,1,428
3403,2021-05-01,M,65-,False,1,340
3404,2021-05-01,U,UNK,False,1,1
3583,2021-05-02,F,-64,False,1,5
3584,2021-05-02,F,65-,False,1,340
3585,2021-05-02,M,-64,False,1,3
3586,2021-05-02,M,65-,False,1,190
3587,2021-05-02,U,UNK,False,1,2
3731,2021-05-03,F,-64,False,1,4
3732,2021-05-03,F,65-,False,1,86
3733,2021-05-03,M,-64,False,1,3
3734,2021-05-03,M,65-,False,1,67
3890,2021-05-04,F,-64,False,1,1
3891,2021-05-04,F,65-,False,1,108
3892,2021-05-04,M,-64,False,1,4
3893,2021-05-04,M,65-,False,1,81
3894,2021-05-04,U,UNK,False,1,1
4039,2021-05-05,F,65-,False,1,249
4040,2021-05-05,F,65-,False,2,100
4041,2021-05-05,M,-64,False,1,3
4042,2021-05-05,M,65-,False,1,205
4043,2021-05-05,M,65-,False,2,93
4276,2021-05-06,F,-64,False,1,13
4277,2021-05-06,F,65-,False,1,1253
4278,2021-05-06,F,65-,False,2,1
4279,2021-05-06,M,-64,False,1,8
4280,2021-05-06,M,65-,False,1,817
4281,2021-05-06,U,UNK,False,1,10
4621,2021-05-07,F,-64,False,1,4
4622,2021-05-07,F,65-,False,1,527
4623,2021-05-07,F,65-,False,2,1
4624,2021-05-07,M,-64,False,1,2
4625,2021-05-07,M,65-,False,1,289
4626,2021-05-07,M,65-,False,2,1
4627,2021-05-07,U,UNK,False,1,2
4932,2021-05-08,F,-64,False,1,10
4933,2021-05-08,F,65-,False,1,1658
4934,2021-05-08,F,65-,False,2,87
4935,2021-05-08,M,-64,False,1,8
4936,2021-05-08,M,65-,False,1,1107
4937,2021-05-08,M,65-,False,2,138
4938,2021-05-08,U,UNK,False,1,2
4939,2021-05-08,U,UNK,False,2,2
5223,2021-05-09,F,-64,False,1,10
5224,2021-05-09,F,65-,False,1,1100
5225,2021-05-09,F,65-,False,2,455
5226,2021-05-09,M,-64,False,1,9
5227,2021-05-09,M,65-,False,1,785
5228,2021-05-09,M,65-,False,2,311
5229,2021-05-09,U,UNK,False,1,8
5555,2021-05-10,F,-64,False,1,24
5556,2021-05-10,F,65-,False,1,1363
5557,2021-05-10,F,65-,False,2,109
5558,2021-05-10,M,-64,False,1,21
5559,2021-05-10,M,65-,False,1,913
5560,2021-05-10,M,65-,False,2,29
5561,2021-05-10,U,UNK,False,1,11
5562,2021-05-10,U,UNK,False,2,1
5960,2021-05-11,F,-64,False,1,16
5961,2021-05-11,F,65-,False,1,1748
5962,2021-05-11,F,65-,False,2,94
5963,2021-05-11,M,-64,False,1,21
5964,2021-05-11,M,65-,False,1,1068
5965,2021-05-11,M,65-,False,2,25
5966,2021-05-11,U,UNK,False,1,14
5967,2021-05-11,U,UNK,False,2,2
6387,2021-05-12,F,-64,False,1,15
6388,2021-05-12,F,65-,False,1,4455
6389,2021-05-12,F,65-,False,2,176
6390,2021-05-12,M,-64,False,1,17
6391,2021-05-12,M,65-,False,1,3479
6392,2021-05-12,M,65-,False,2,94
6393,2021-05-12,U,UNK,False,1,15
6803,2021-05-13,F,-64,False,1,61
6804,2021-05-13,F,65-,False,1,3155
6805,2021-05-13,F,65-,False,2,124
6806,2021-05-13,M,-64,False,1,33
6807,2021-05-13,M,65-,False,1,2282
6808,2021-05-13,M,65-,False,2,39
6809,2021-05-13,U,UNK,False,1,14
6810,2021-05-13,U,UNK,False,2,1
7218,2021-05-14,F,-64,False,1,30
7219,2021-05-14,F,65-,False,1,2065
7220,2021-05-14,F,65-,False,2,161
7221,2021-05-14,M,-64,False,1,25
7222,2021-05-14,M,65-,False,1,1338
7223,2021-05-14,M,65-,False,2,35
7224,2021-05-14,U,UNK,False,1,10
7225,2021-05-14,U,UNK,False,2,2
7613,2021-05-15,F,-64,False,1,24
7614,2021-05-15,F,65-,False,1,2783
7615,2021-05-15,F,65-,False,2,176
7616,2021-05-15,M,-64,False,1,37
7617,2021-05-15,M,-64,False,2,2
7618,2021-05-15,M,65-,False,1,2225
7619,2021-05-15,M,65-,False,2,129
7620,2021-05-15,U,UNK,False,1,5
7621,2021-05-15,U,UNK,False,2,2
7990,2021-05-16,F,-64,False,1,90
7991,2021-05-16,F,-64,False,2,1
7992,2021-05-16,F,65-,False,1,13504
7993,2021-05-16,F,65-,False,2,365
7994,2021-05-16,M,-64,False,1,105
7995,2021-05-16,M,-64,False,2,5
7996,2021-05-16,M,65-,False,1,10786
7997,2021-05-16,M,65-,False,2,244
7998,2021-05-16,U,UNK,False,1,24
8364,2021-05-17,F,-64,False,1,38
8365,2021-05-17,F,65-,False,1,2667
8366,2021-05-17,F,65-,False,2,138
8367,2021-05-17,M,-64,False,1,24
8368,2021-05-17,M,-64,False,2,2
8369,2021-05-17,M,65-,False,1,1904
8370,2021-05-17,M,65-,False,2,84
8371,2021-05-17,U,UNK,False,1,10
8790,2021-05-18,F,-64,False,1,33
8791,2021-05-18,F,-64,False,2,1
8792,2021-05-18,F,65-,False,1,2774
8793,2021-05-18,F,65-,False,2,209
8794,2021-05-18,M,-64,False,1,36
8795,2021-05-18,M,-64,False,2,1
8796,2021-05-18,M,65-,False,1,1961
8797,2021-05-18,M,65-,False,2,155
8798,2021-05-18,U,UNK,False,1,6
9243,2021-05-19,F,-64,False,1,55
9244,2021-05-19,F,-64,False,2,3
9245,2021-05-19,F,65-,False,1,5226
9246,2021-05-19,F,65-,False,2,438
9247,2021-05-19,M,-64,False,1,33
9248,2021-05-19,M,-64,False,2,1
9249,2021-05-19,M,65-,False,1,3803
9250,2021-05-19,M,65-,False,2,292
9251,2021-05-19,U,UNK,False,1,19
9252,2021-05-19,U,UNK,False,2,1
9662,2021-05-20,F,-64,False,1,47
9663,2021-05-20,F,-64,False,2,1
9664,2021-05-20,F,65-,False,1,3918
9665,2021-05-20,F,65-,False,2,237
9666,2021-05-20,M,-64,False,1,47
9667,2021-05-20,M,-64,False,2,3
9668,2021-05-20,M,65-,False,1,2706
9669,2021-05-20,M,65-,False,2,154
9670,2021-05-20,U,UNK,False,1,15
10080,2021-05-21,F,-64,False,1,54
10081,2021-05-21,F,-64,False,2,4
10082,2021-05-21,F,65-,False,1,3180
10083,2021-05-21,F,65-,False,2,222
10084,2021-05-21,M,-64,False,1,46
10085,2021-05-21,M,-64,False,2,8
10086,2021-05-21,M,65-,False,1,2249
10087,2021-05-21,M,65-,False,2,182
10088,2021-05-21,U,UNK,False,1,8
10089,2021-05-21,U,UNK,False,2,2
10506,2021-05-22,F,-64,False,1,56
10507,2021-05-22,F,65-,False,1,3924
10508,2021-05-22,F,65-,False,2,324
10509,2021-05-22,M,-64,False,1,46
10510,2021-05-22,M,65-,False,1,2892
10511,2021-05-22,M,65-,False,2,215
10512,2021-05-22,U,UNK,False,1,7
10897,2021-05-23,F,-64,False,1,108
10898,2021-05-23,F,-64,False,2,5
10899,2021-05-23,F,65-,False,1,12823
10900,2021-05-23,F,65-,False,2,358
10901,2021-05-23,M,-64,False,1,128
10902,2021-05-23,M,-64,False,2,3
10903,2021-05-23,M,65-,False,1,9638
10904,2021-05-23,M,65-,False,2,205
10905,2021-05-23,U,UNK,False,1,14
10906,2021-05-23,U,UNK,False,2,1
11280,2021-05-24,F,-64,False,1,140
11281,2021-05-24,F,-64,False,2,4
11282,2021-05-24,F,65-,False,1,8979
11283,2021-05-24,F,65-,False,2,98
11284,2021-05-24,M,-64,False,1,128
11285,2021-05-24,M,-64,False,2,3
11286,2021-05-24,M,65-,False,1,7151
11287,2021-05-24,M,65-,False,2,72
11288,2021-05-24,U,UNK,False,1,39
11654,2021-05-25,F,-64,False,1,243
11655,2021-05-25,F,-64,False,2,3
11656,2021-05-25,F,65-,False,1,12696
11657,2021-05-25,F,65-,False,2,182
11658,2021-05-25,M,-64,False,1,166
11659,2021-05-25,M,-64,False,2,4
11660,2021-05-25,M,65-,False,1,9515
11661,2021-05-25,M,65-,False,2,138
11662,2021-05-25,U,UNK,False,1,57
11663,2021-05-25,U,UNK,False,2,2
12026,2021-05-26,F,-64,False,1,223
12027,2021-05-26,F,-64,False,2,1
12028,2021-05-26,F,65-,False,1,16894
12029,2021-05-26,F,65-,False,2,151
12030,2021-05-26,M,-64,False,1,189
12031,2021-05-26,M,-64,False,2,4
12032,2021-05-26,M,65-,False,1,12354
12033,2021-05-26,M,65-,False,2,115
12034,2021-05-26,U,UNK,False,1,59
12437,2021-05-27,F,-64,False,1,210
12438,2021-05-27,F,-64,False,2,16
12439,2021-05-27,F,65-,False,1,13266
12440,2021-05-27,F,65-,False,2,1157
12441,2021-05-27,M,-64,False,1,183
12442,2021-05-27,M,-64,False,2,8
12443,2021-05-27,M,65-,False,1,9778
12444,2021-05-27,M,65-,False,2,738
12445,2021-05-27,U,UNK,False,1,77
12870,2021-05-28,F,-64,False,1,235
12871,2021-05-28,F,-64,False,2,4
12872,2021-05-28,F,65-,False,1,13753
12873,2021-05-28,F,65-,False,2,419
12874,2021-05-28,M,-64,False,1,255
12875,2021-05-28,M,-64,False,2,1
12876,2021-05-28,M,65-,False,1,10350
12877,2021-05-28,M,65-,False,2,245
12878,2021-05-28,U,UNK,False,1,66
12879,2021-05-28,U,UNK,False,2,1
13301,2021-05-29,F,-64,False,1,166
13302,2021-05-29,F,-64,False,2,8
13303,2021-05-29,F,65-,False,1,9681
13304,2021-05-29,F,65-,False,2,1570
13305,2021-05-29,M,-64,False,1,206
13306,2021-05-29,M,-64,False,2,8
13307,2021-05-29,M,65-,False,1,7494
13308,2021-05-29,M,65-,False,2,1067
13309,2021-05-29,U,UNK,False,1,44
13310,2021-05-29,U,UNK,False,2,4
13710,2021-05-30,F,-64,False,1,349
13711,2021-05-30,F,-64,False,2,2
13712,2021-05-30,F,65-,False,1,15827
13713,2021-05-30,F,65-,False,2,581
13714,2021-05-30,M,-64,False,1,370
13715,2021-05-30,M,-64,False,2,2
13716,2021-05-30,M,65-,False,1,12728
13717,2021-05-30,M,65-,False,2,383
13718,2021-05-30,U,UNK,False,1,21
14147,2021-05-31,F,-64,False,1,258
14148,2021-05-31,F,-64,False,2,16
14149,2021-05-31,F,65-,False,1,15225
14150,2021-05-31,F,65-,False,2,1091
14151,2021-05-31,M,-64,False,1,279
14152,2021-05-31,M,-64,False,2,17
14153,2021-05-31,M,65-,False,1,11609
14154,2021-05-31,M,65-,False,2,738
14155,2021-05-31,U,UNK,False,1,39
14156,2021-05-31,U,UNK,False,2,3
14604,2021-06-01,F,-64,False,1,268
14605,2021-06-01,F,-64,False,2,17
14606,2021-06-01,F,65-,False,1,16497
14607,2021-06-01,F,65-,False,2,1195
14608,2021-06-01,M,-64,False,1,254
14609,2021-06-01,M,-64,False,2,21
14610,2021-06-01,M,65-,False,1,12449
14611,2021-06-01,M,65-,False,2,835
14612,2021-06-01,U,UNK,False,1,47
14613,2021-06-01,U,UNK,False,2,5
15059,2021-06-02,F,-64,False,1,253
15060,2021-06-02,F,-64,False,2,13
15061,2021-06-02,F,65-,False,1,13839
15062,2021-06-02,F,65-,False,2,3176
15063,2021-06-02,M,-64,False,1,233
15064,2021-06-02,M,-64,False,2,15
15065,2021-06-02,M,65-,False,1,9992
15066,2021-06-02,M,65-,False,2,2604
15067,2021-06-02,U,UNK,False,1,50
15068,2021-06-02,U,UNK,False,2,6
